"""MaStR-Nr. der Einheit""";Anzeige-Name der Einheit;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Bundesland;Postleitzahl;Ort;Anzahl der Solar-Module;Hauptausrichtung der Solar-Module;Inbetriebnahmedatum der EEG-Anlage;Coords;Wetter-ID
SEE987000309138;Hausdach-2019;5,76;5;13.08.2019;14.08.2019;Hamburg;21129;Hamburg;18.0;SÃ¼d-West;13.08.2019;[53.5259453, 9.8372267];4039
SEE945750462527;Hausdach;7,25;7,25;29.05.2013;01.12.2020;Hamburg;21033;Hamburg;50.0;SÃ¼d-West;29.05.2013;[53.5010368, 10.1796657];4039
SEE994284499837;PV-Anlage;4,48;4;15.08.2019;15.08.2019;Hamburg;21039;Hamburg;14.0;SÃ¼d-West;15.08.2019;[53.4513175, 10.2547253];1736
SEE958299653226;PoppenbÃ¼tteler Berg Hs.-Nr. 16;10,98;10;05.12.2018;15.08.2019;Hamburg;22399;Hamburg;36.0;Nord-Ost;05.12.2018;[53.6638384, 10.0722229];4039
SEE925776713766;PV-Anlage;3,84;3,84;14.08.2019;15.08.2019;Hamburg;21037;Hamburg;12.0;SÃ¼d;14.08.2019;[53.4351527, 10.1484351];4039
SEE924181059315;Wittenkamp 1;9,76;8;22.07.2019;20.08.2019;Hamburg;22307;Hamburg;32.0;Ost-West;22.07.2019;[53.550341, 10.000654];4039
SEE985510175120;Wittenkamp 6;18,3;15;22.07.2019;20.08.2019;Hamburg;22307;Hamburg;60.0;Ost-West;22.07.2019;[53.550341, 10.000654];4039
SEE947755770737;Wittenkamp 7;19,52;15;22.07.2019;20.08.2019;Hamburg;22307;Hamburg;64.0;Ost-West;22.07.2019;[53.550341, 10.000654];4039
SEE953802799330;Wittenkamp 8;19,52;15;22.07.2019;20.08.2019;Hamburg;22307;Hamburg;64.0;Ost-West;22.07.2019;[53.550341, 10.000654];4039
SEE988266795215;Wittenkamp 10;19,52;15;22.07.2019;20.08.2019;Hamburg;22307;Hamburg;64.0;Ost-West;22.07.2019;[53.550341, 10.000654];4039
SEE980724382173;SonneCurslack;8,82;7,6;20.03.2013;17.08.2019;Hamburg;21039;Hamburg;36.0;SÃ¼d-West;20.03.2013;[53.4513175, 10.2547253];1736
SEE922014632759;Aufdach;3,96;3,6;16.08.2019;18.08.2019;Hamburg;22549;Hamburg;12.0;SÃ¼d;16.08.2019;[53.5846012, 9.8593302];4039
SEE997266306352;PV ANLAGE HEIDBLICK;7,36;6,2;16.08.2019;18.08.2019;Hamburg;21149;Hamburg;23.0;SÃ¼d;16.08.2019;[53.467191, 9.8560631];4039
SEE914513381092;Hausdach;3,68;3,3;11.06.2007;18.08.2019;Hamburg;21129;Hamburg;16.0;SÃ¼d;11.06.2007;[53.5259453, 9.8372267];4039
SEE918649160170;ABR920703395619;7;4,6;29.01.2017;18.08.2019;Hamburg;22559;Hamburg;13.0;SÃ¼d-West;29.01.2017;[53.58054, 9.7559251];4039
SEE990587970295;ABR914135132584;6,12;4,6;14.08.2019;18.08.2019;Hamburg;22547;Hamburg;18.0;SÃ¼d;14.08.2019;[53.5991257, 9.8775211];4039
SEE975536447325;Solaranlage LK;7,77;7,77;25.09.2012;18.08.2019;Hamburg;22045;Hamburg;37.0;SÃ¼d;25.09.2012;[53.5839495, 10.1308382];4039
