KREIS;GEMEINDE;TYP;Modell;HERSTELLER;NABENHOEHE;ROTORDURCHMESSER;SCHALLLEISTUNGSPEGEL;LEISTUNG;LEISTUNGSBEZUG;OSTWERT (EPSG:4647);NORDWERT (EPSG:4647);GENEHMIGT_AM;INBETRIEBNAHME;STATUS;BST_NR;ANL_NR;DATENDATUM;DATENQUELLE;Coords;Wetter-ID
Hzgt.Lauenburg;LÃÂ¼tau;AN Bonus 1,3/62;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32603729;5920079;01.10.2001 00:00;03.04.2002 00:00;in Betrieb;53087493352;4;13.07.2021;LLUR SH, Abtl. 7;[53.4346667, 10.5482762];3086
Hzgt.Lauenburg;Basedow;AN Bonus 1,3/62;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32603827;5919721;01.10.2001 00:00;03.04.2002 00:00;in Betrieb;53087493352;5;13.07.2021;LLUR SH, Abtl. 7;[53.4189219, 10.5843316];3086
Hzgt.Lauenburg;Basedow;AN Bonus 1,3/62;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32604124;5920026;01.10.2001 00:00;03.04.2002 00:00;in Betrieb;53087493352;6;13.07.2021;LLUR SH, Abtl. 7;[53.4189219, 10.5843316];3086
Hzgt.Lauenburg;LÃÂ¼tau;AN Bonus 1,3/62;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32603950;5920596;01.10.2001 00:00;03.04.2002 00:00;in Betrieb;53087493352;7;13.07.2021;LLUR SH, Abtl. 7;[53.4346667, 10.5482762];3086
Hzgt.Lauenburg;Basedow;AN Bonus 1,3/62;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32604072;5920321;01.10.2001 00:00;03.04.2002 00:00;in Betrieb;53087493352;8;13.07.2021;LLUR SH, Abtl. 7;[53.4189219, 10.5843316];3086
Hzgt.Lauenburg;LÃÂ¼tau;AN Bonus 1,3/62;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32603466;5919552;01.10.2001 00:00;03.04.2002 00:00;in Betrieb;53087493352;9;13.07.2021;LLUR SH, Abtl. 7;[53.4346667, 10.5482762];3086
Hzgt.Lauenburg;LÃÂ¼tau;AN Bonus 1,3/62;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32603631;5919325;01.10.2001 00:00;03.04.2002 00:00;in Betrieb;53087493352;10;13.07.2021;LLUR SH, Abtl. 7;[53.4346667, 10.5482762];3086
Hzgt.Lauenburg;Basedow;AN Bonus 1,3/62;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32603905;5919141;01.10.2001 00:00;03.04.2002 00:00;in Betrieb;53087493352;11;13.07.2021;LLUR SH, Abtl. 7;[53.4189219, 10.5843316];3086
Hzgt.Lauenburg;Basedow;AN Bonus 1,3/62;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32604160;5919703;01.10.2001 00:00;03.04.2002 00:00;in Betrieb;53087493352;12;13.07.2021;LLUR SH, Abtl. 7;[53.4189219, 10.5843316];3086
Hzgt.Lauenburg;Basedow;AN Bonus 1,3/62;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32604188;5919374;01.10.2001 00:00;03.04.2002 00:00;in Betrieb;53087493352;13;13.07.2021;LLUR SH, Abtl. 7;[53.4189219, 10.5843316];3086
Hzgt.Lauenburg;Basedow;AN Bonus 1,3/62;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32604310;5920402;01.10.2001 00:00;03.04.2002 00:00;in Betrieb;53087493352;14;13.07.2021;LLUR SH, Abtl. 7;[53.4189219, 10.5843316];3086
Pinneberg;Uetersen;AN Bonus 1,3MW/62;AN Bonus 1,3/62;AN BONUS;62.0;62.0;104.4;1300;kW Nennleist. Rotor.;32541569;5949192;31.12.1899;28.09.2001 00:00;in Betrieb;56049515340;1;13.07.2021;LLUR SH, Abtl. 7;[53.6851608, 9.669827];4039
Steinburg;Krummendiek;AN BONUS 1,5MW;An Bonus 1,5;AN BONUS;68.0;64.0;104;1500;kW Nennleist. Rotor.;32526092;5976853;28.02.2000 00:00;31.10.2000 00:00;in Betrieb;61059238724;1;13.07.2021;LLUR SH, Abtl. 7;[53.95, 9.41667];2429
Steinburg;Sankt Margarethen;AN Bonus 1300/260 kw;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.6;1300;kW Nennleist. Rotor.;32517183;5972730;21.11.2000 00:00;31.10.2001 00:00;in Betrieb;61063512667;2;13.07.2021;LLUR SH, Abtl. 7;[53.8938608, 9.2587835];6108
Steinburg;Sankt Margarethen;AN Bonus 1300/260 kw;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.6;1300;kW Nennleist. Rotor.;32517170;5972526;21.11.2000 00:00;31.10.2001 00:00;in Betrieb;61063512667;3;13.07.2021;LLUR SH, Abtl. 7;[53.8938608, 9.2587835];6108
Steinburg;Sankt Margarethen;AN Bonus 1300/260 kw;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.6;1300;kW Nennleist. Rotor.;32517385;5972396;21.11.2000 00:00;31.10.2001 00:00;in Betrieb;61063512667;4;13.07.2021;LLUR SH, Abtl. 7;[53.8938608, 9.2587835];6108
Ostholstein;Beschendorf;AN BONUS 1300/62, S-Nr. AN 1300-984-01;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104,4 dB(A);1300;kW Nennleist. Rotor.;32623031;6006434;20.08.2002 00:00;30.12.2003 00:00;in Betrieb;55006155816;1;13.07.2021;LLUR SH, Abtl. 7;[54.1834961, 10.8751201];3897
Ostholstein;Beschendorf;AN BONUS 1300/62, S-Nr.AN 1300-985-02;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104,4 dB(A);1300;kW Nennleist. Rotor.;32623272;6006252;20.08.2002 00:00;30.12.2003 00:00;in Betrieb;55006155816;2;13.07.2021;LLUR SH, Abtl. 7;[54.1834961, 10.8751201];3897
Nordfriesland;Bordelum;AN Bonus 1MW/54;AN Bonus 1MW/54;AN BONUS;72.0;54.0;101.6;1000;kW Nennleist. Rotor.;32499766;6055247;05.12.2002 00:00;30.12.2002 00:00;in Betrieb;54014334430;2;13.07.2021;LLUR SH, Abtl. 7;[54.6333, 8.93333];4919
Ostholstein;Gremersdorf;AN BONUS 2 MW/76, S-Nr.AN 2000-343-05;AN Bonus 2MW/76;AN BONUS;60.0;76.0;104,5 dB(A);2000;kW Nennleist. Rotor.;32628252;6021394;01.07.2002 00:00;29.12.2002 00:00;in Betrieb;55015462026;1;13.07.2021;LLUR SH, Abtl. 7;[54.3325847, 10.932245];5877
Nordfriesland;EllhÃÂ¶ft;AN Bonus 2,3 MW Nr.11;AN Bonus 2,3 ;AN BONUS;93.0;93.0;106;2300;kW Nennleist. Rotor.;32496707;6083775;12.07.2006 00:00;31.07.2007 00:00;in Betrieb;54027335067;1;13.07.2021;LLUR SH, Abtl. 7;[54.8870251, 8.9535148];2907
Schleswig-Flensburg;HÃÂ¶rup;AN BONUS 2,3 MW/82-VS;AN Bonus 2,3 ;AN BONUS;90.0;82.4;103;2300;kW Nennleist. Rotor.;32506827;6064985;14.04.2004 00:00;02.07.2004 00:00;in Betrieb;59123308402;1;13.07.2021;LLUR SH, Abtl. 7;[54.7447487, 9.1033911];2907
Schleswig-Flensburg;HÃÂ¶rup;AN BONUS 2,3 MW/82-VS;AN Bonus 2,3 ;AN BONUS;90.0;82.4;103;2300;kW Nennleist. Rotor.;32507126;6064793;14.04.2004 00:00;02.07.2004 00:00;in Betrieb;59123308402;2;13.07.2021;LLUR SH, Abtl. 7;[54.7447487, 9.1033911];2907
Nordfriesland;EllhÃÂ¶ft;AN Bonus 2,3 MW/93-VS;AN Bonus 2,3 ;AN BONUS;93.0;93.0;103;2300;kW Nennleist. Rotor.;32495915;6083742;01.03.2006 00:00;31.07.2007 00:00;in Betrieb;54027335067;2;13.07.2021;LLUR SH, Abtl. 7;[54.8870251, 8.9535148];2907
Nordfriesland;EllhÃÂ¶ft;AN Bonus 2,3 MW/93-VS;AN Bonus 2,3 ;AN BONUS;93.0;93.0;106;2300;kW Nennleist. Rotor.;32495628;6083820;01.03.2006 00:00;31.07.2007 00:00;in Betrieb;54027335067;6;13.07.2021;LLUR SH, Abtl. 7;[54.8870251, 8.9535148];2907
Nordfriesland;EllhÃÂ¶ft;AN Bonus 2,3 MW/93-VS;AN Bonus 2,3 ;AN BONUS;93.0;93.0;105;2300;kW Nennleist. Rotor.;32498071;6082956;01.03.2006 00:00;31.07.2007 00:00;in Betrieb;54027335067;7;13.07.2021;LLUR SH, Abtl. 7;[54.8870251, 8.9535148];2907
Dithmarschen;BrunsbÃÂ¼ttel;AN Bonus 2MW/76;AN Bonus 2MW/76;AN BONUS;80.0;76.0;106;2000;kW Nennleist. Rotor.;32513600;5971660;22.05.2001 00:00;01.02.2002 00:00;in Betrieb;51011515486;1;13.07.2021;LLUR SH, Abtl. 7;[53.8972549, 9.1395423];1200
Nordfriesland;KlixbÃÂ¼ll;AN Bonus 3,6 MW/107;AN Bonus 3,6 MW/107;AN BONUS;80.0;107.0;103;3600;kW Nennleist. Rotor.;32492149;6074609;07.03.2006 00:00;11.09.2007 00:00;in Betrieb;54068321928;1;13.07.2021;LLUR SH, Abtl. 7;[54.8020784, 8.8900168];2907
Nordfriesland;KlixbÃÂ¼ll;AN Bonus 3,6 MW/107;AN Bonus 3,6 MW/107;AN BONUS;80.0;107.0;103;3600;kW Nennleist. Rotor.;32492537;6074633;07.03.2006 00:00;19.09.2007 00:00;in Betrieb;54068321928;2;13.07.2021;LLUR SH, Abtl. 7;[54.8020784, 8.8900168];2907
Dithmarschen;BrunsbÃÂ¼ttel;AN Bonus 37;;AN BONUS;42.3;37.0;99;500;kW Nennleist. Rotor.;32511982;5971375;18.10.1993 00:00;17.02.1994 00:00;in Betrieb;51011515470;1;13.07.2021;LLUR SH, Abtl. 7;[53.8972549, 9.1395423];1200
