STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       1975;2020030711:30;    1;   94.0;   61.0;  195.0;  55;    58.97;2020030712:00;eor
       1975;2020030712:30;    1;   94.0;   48.0;  153.0;  51;    58.95;2020030713:00;eor
       1975;2020030713:30;    1;  100.0;   65.0;  115.0;  32;    61.57;2020030714:00;eor
       1975;2020030714:30;    1;  103.0;   50.0;   83.0;  22;    66.47;2020030715:00;eor
       1975;2020030715:30;    1;   94.0;   30.0;   92.0;  51;    73.12;2020030716:00;eor
       1975;2020030716:30;    1;   91.0;   14.0;   44.0;  59;    80.97;2020030717:00;eor
       1975;2020030717:30;    1;   91.0;    3.0;    5.0;  23;    89.52;2020030718:00;eor
       1975;2020030718:30;    1;   91.0;    0.0;    0.0;   0;    98.38;2020030719:00;eor
       1975;2020030719:30;    1;   91.0;    0.0;    0.0;   0;   107.13;2020030720:00;eor
       1975;2020030720:30;    1;   92.0;    0.0;    0.0;   0;   115.33;2020030721:00;eor
       1975;2020030721:30;    1;  100.0;    0.0;    0.0;   0;   122.46;2020030722:00;eor
       1975;2020030722:30;    1;   95.0;    0.0;    0.0;   0;   127.85;2020030723:00;eor
       1975;2020030723:30;    1;  109.0;    0.0;    0.0;   0;   130.79;2020030800:00;eor
       1975;2020030800:30;    1;  119.0;    0.0;    0.0;   0;   130.77;2020030801:00;eor
       1975;2020030801:30;    1;  121.0;    0.0;    0.0;   0;   127.80;2020030802:00;eor
