STATIONS_ID;MESS_DATUM;QN_8;FX_911;eor
       4919;2020052207;    3;   9.5;eor
       4919;2020052208;    3;  10.3;eor
       4919;2020052209;    3;   9.9;eor
       4919;2020052210;    3;   8.5;eor
       4919;2020052211;    3;   8.7;eor
       4919;2020052212;    3;   8.8;eor
       4919;2020052213;    3;  11.8;eor
       4919;2020052214;    3;  14.2;eor
       4919;2020052215;    3;  14.0;eor
       4919;2020052216;    3;  11.2;eor
       4919;2020052217;    3;  12.7;eor
       4919;2020052218;    3;  13.1;eor
       4919;2020052219;    3;   7.2;eor
       4919;2020052220;    3;   7.2;eor
       4919;2020052221;    3;   6.5;eor
       4919;2020052222;    3;   7.8;eor
       4919;2020052223;    3;   8.1;eor
       4919;2020052300;    3;   7.8;eor
       4919;2020052301;    3;   9.2;eor
       4919;2020052302;    3;   9.3;eor
       4919;2020052303;    3;   8.6;eor
       4919;2020052304;    3;   9.4;eor
       4919;2020052305;    3;   9.9;eor
       4919;2020052306;    3;   9.1;eor
       4919;2020052307;    3;  11.8;eor
       4919;2020052308;    3;  12.2;eor
       4919;2020052309;    3;  13.8;eor
       4919;2020052310;    3;  14.5;eor
       4919;2020052311;    3;  15.0;eor
       4919;2020052312;    3;  15.5;eor
       4919;2020052313;    3;  15.4;eor
       4919;2020052314;    3;  15.3;eor
       4919;2020052315;    3;  16.7;eor
       4919;2020052316;    3;  15.1;eor
       4919;2020052317;    3;  14.7;eor
       4919;2020052318;    3;  16.0;eor
       4919;2020052319;    3;  14.3;eor
       4919;2020052320;    3;  13.7;eor
       4919;2020052321;    3;  14.5;eor
       4919;2020052322;    3;  18.4;eor
       4919;2020052323;    3;  17.3;eor
       4919;2020052400;    3;  16.5;eor
       4919;2020052401;    3;  15.1;eor
       4919;2020052402;    3;  15.3;eor
       4919;2020052403;    3;  11.4;eor
       4919;2020052404;    3;  15.4;eor
       4919;2020052405;    3;  16.5;eor
       4919;2020052406;    3;  15.4;eor
       4919;2020052407;    3;  16.8;eor
       4919;2020052408;    3;  17.2;eor
       4919;2020052409;    3;  17.4;eor
       4919;2020052410;    3;  17.8;eor
       4919;2020052411;    3;  16.7;eor
       4919;2020052412;    3;  15.1;eor
       4919;2020052413;    3;  15.9;eor
       4919;2020052414;    3;  16.0;eor
       4919;2020052415;    3;  15.9;eor
       4919;2020052416;    3;  15.7;eor
       4919;2020052417;    3;  16.0;eor
       4919;2020052418;    3;  15.7;eor
       4919;2020052419;    3;  15.1;eor
       4919;2020052420;    3;  14.9;eor
       4919;2020052421;    3;  16.1;eor
       4919;2020052422;    3;  17.2;eor
       4919;2020052423;    3;  17.0;eor
       4919;2020052500;    3;  17.7;eor
       4919;2020052501;    3;  17.7;eor
       4919;2020052502;    3;  18.3;eor
       4919;2020052503;    3;  18.2;eor
       4919;2020052504;    3;  18.6;eor
       4919;2020052505;    3;  18.2;eor
       4919;2020052506;    3;  18.1;eor
       4919;2020052507;    3;  16.4;eor
       4919;2020052508;    3;  16.2;eor
       4919;2020052509;    3;  14.3;eor
       4919;2020052510;    3;  14.1;eor
       4919;2020052511;    3;  14.1;eor
       4919;2020052512;    3;  12.4;eor
       4919;2020052513;    3;  11.9;eor
       4919;2020052514;    3;  11.1;eor
       4919;2020052515;    3;  10.5;eor
       4919;2020052516;    3;  11.3;eor
       4919;2020052517;    3;  11.3;eor
       4919;2020052518;    3;  10.1;eor
       4919;2020052519;    3;   9.8;eor
       4919;2020052520;    3;   9.3;eor
       4919;2020052521;    3;   8.5;eor
       4919;2020052522;    3;   6.6;eor
       4919;2020052523;    3;   6.8;eor
       4919;2020052600;    3;   8.4;eor
       4919;2020052601;    3;   7.6;eor
       4919;2020052602;    3;   6.2;eor
       4919;2020052603;    3;   6.1;eor
       4919;2020052604;    3;   5.4;eor
       4919;2020052605;    3;   6.3;eor
       4919;2020052606;    3;   4.3;eor
       4919;2020052607;    3;   5.9;eor
       4919;2020052608;    3;   5.5;eor
       4919;2020052609;    3;   5.3;eor
       4919;2020052610;    3;   4.0;eor
       4919;2020052611;    3;   5.5;eor
       4919;2020052612;    3;   5.3;eor
       4919;2020052613;    3;   5.2;eor
       4919;2020052614;    3;   5.1;eor
       4919;2020052615;    3;   4.8;eor
       4919;2020052616;    3;   5.7;eor
       4919;2020052617;    3;   5.5;eor
       4919;2020052618;    3;   4.9;eor
       4919;2020052619;    3;   5.4;eor
       4919;2020052620;    3;   4.4;eor
       4919;2020052621;    3;   4.4;eor
       4919;2020052622;    3;   3.4;eor
       4919;2020052623;    3;   2.5;eor
       4919;2020052700;    3;   1.6;eor
       4919;2020052701;    3;   2.3;eor
       4919;2020052702;    3;   1.1;eor
       4919;2020052703;    3;   5.0;eor
       4919;2020052704;    3;   4.5;eor
       4919;2020052705;    3;   4.8;eor
       4919;2020052706;    3;   5.5;eor
       4919;2020052707;    3;   7.2;eor
       4919;2020052708;    3;   6.3;eor
       4919;2020052709;    3;   7.1;eor
       4919;2020052710;    3;   7.7;eor
       4919;2020052711;    3;   9.2;eor
       4919;2020052712;    3;  10.8;eor
       4919;2020052713;    3;  12.1;eor
       4919;2020052714;    3;  14.9;eor
       4919;2020052715;    3;  16.4;eor
       4919;2020052716;    3;  16.5;eor
       4919;2020052717;    3;  17.2;eor
       4919;2020052718;    3;  15.6;eor
       4919;2020052719;    3;  13.5;eor
       4919;2020052720;    3;  14.8;eor
       4919;2020052721;    3;  14.4;eor
       4919;2020052722;    3;  12.3;eor
       4919;2020052723;    3;  10.3;eor
       4919;2020052800;    3;  10.4;eor
       4919;2020052801;    3;  10.5;eor
       4919;2020052802;    3;  13.0;eor
       4919;2020052803;    3;  14.4;eor
       4919;2020052804;    3;  13.5;eor
       4919;2020052805;    3;  11.5;eor
       4919;2020052806;    3;  11.5;eor
       4919;2020052807;    3;  11.4;eor
       4919;2020052808;    3;  11.8;eor
       4919;2020052809;    3;  12.4;eor
       4919;2020052810;    3;  12.4;eor
       4919;2020052811;    3;  12.4;eor
       4919;2020052812;    3;  11.8;eor
       4919;2020052813;    3;  12.1;eor
       4919;2020052814;    3;  11.8;eor
       4919;2020052815;    3;  12.0;eor
       4919;2020052816;    3;  12.2;eor
       4919;2020052817;    3;  12.3;eor
       4919;2020052818;    3;  12.5;eor
       4919;2020052819;    3;  12.3;eor
       4919;2020052820;    3;  11.6;eor
       4919;2020052821;    3;  11.0;eor
       4919;2020052822;    3;  10.1;eor
       4919;2020052823;    3;   7.0;eor
       4919;2020052900;    3;   7.2;eor
       4919;2020052901;    3;   5.5;eor
       4919;2020052902;    3;   6.1;eor
       4919;2020052903;    3;   5.9;eor
       4919;2020052904;    3;   6.6;eor
       4919;2020052905;    3;   6.6;eor
       4919;2020052906;    3;   5.5;eor
       4919;2020052907;    3;   4.2;eor
       4919;2020052908;    3;   4.9;eor
       4919;2020052909;    3;   5.8;eor
       4919;2020052910;    3;   5.5;eor
       4919;2020052911;    3;   5.5;eor
       4919;2020052912;    3;   5.7;eor
       4919;2020052913;    3;   5.7;eor
       4919;2020052914;    3;   6.2;eor
       4919;2020052915;    3;   7.0;eor
       4919;2020052916;    3;   8.1;eor
       4919;2020052917;    3;   9.3;eor
       4919;2020052918;    3;   9.1;eor
       4919;2020052919;    3;   9.3;eor
       4919;2020052920;    3;   7.8;eor
       4919;2020052921;    3;   6.2;eor
       4919;2020052922;    3;   6.1;eor
       4919;2020052923;    3;   4.8;eor
       4919;2020053000;    3;   5.3;eor
       4919;2020053001;    3;   4.7;eor
       4919;2020053002;    3;   4.7;eor
       4919;2020053003;    3;   4.6;eor
       4919;2020053004;    3;   4.8;eor
       4919;2020053005;    3;   4.5;eor
       4919;2020053006;    3;   4.7;eor
       4919;2020053007;    3;   3.5;eor
       4919;2020053008;    3;   4.4;eor
       4919;2020053009;    3;   4.9;eor
       4919;2020053010;    3;   5.7;eor
       4919;2020053011;    3;   7.0;eor
       4919;2020053012;    3;   8.8;eor
       4919;2020053013;    3;  10.2;eor
       4919;2020053014;    3;  11.4;eor
       4919;2020053015;    3;  11.1;eor
       4919;2020053016;    3;  11.1;eor
       4919;2020053017;    3;   8.5;eor
       4919;2020053018;    3;   9.4;eor
       4919;2020053019;    3;   5.3;eor
       4919;2020053020;    3;   5.7;eor
       4919;2020053021;    3;   3.2;eor
       4919;2020053022;    3;   4.5;eor
       4919;2020053023;    3;   4.4;eor
       4919;2020053100;    3;   5.1;eor
       4919;2020053101;    3;   4.0;eor
       4919;2020053102;    3;   4.2;eor
       4919;2020053103;    3;   4.0;eor
       4919;2020053104;    3;   4.8;eor
       4919;2020053105;    3;   4.5;eor
       4919;2020053106;    3;   4.8;eor
       4919;2020053107;    3;   6.0;eor
       4919;2020053108;    3;   7.6;eor
       4919;2020053109;    3;  11.3;eor
       4919;2020053110;    3;  11.1;eor
       4919;2020053111;    3;  11.0;eor
       4919;2020053112;    3;  12.4;eor
       4919;2020053113;    3;  13.4;eor
       4919;2020053114;    3;  12.5;eor
       4919;2020053115;    3;  12.9;eor
       4919;2020053116;    3;  13.2;eor
       4919;2020053117;    3;  11.6;eor
       4919;2020053118;    3;  10.6;eor
       4919;2020053119;    3;   7.0;eor
       4919;2020053120;    3;   6.0;eor
       4919;2020053121;    3;   6.2;eor
       4919;2020053122;    3;   5.3;eor
       4919;2020053123;    3;   6.0;eor
       4919;2020060100;    3;   6.0;eor
       4919;2020060101;    3;   4.9;eor
       4919;2020060102;    3;   4.8;eor
       4919;2020060103;    3;   5.3;eor
       4919;2020060104;    3;   5.0;eor
       4919;2020060105;    3;   5.4;eor
       4919;2020060106;    3;   5.1;eor
       4919;2020060107;    3;   7.9;eor
       4919;2020060108;    3;  10.7;eor
       4919;2020060109;    3;  10.0;eor
       4919;2020060110;    3;  11.2;eor
       4919;2020060111;    3;  11.3;eor
       4919;2020060112;    3;  11.1;eor
       4919;2020060113;    3;  12.2;eor
       4919;2020060114;    3;  11.4;eor
       4919;2020060115;    3;  12.6;eor
       4919;2020060116;    3;  11.1;eor
       4919;2020060117;    3;  11.0;eor
       4919;2020060118;    3;  10.9;eor
       4919;2020060119;    3;   7.8;eor
       4919;2020060120;    3;   5.5;eor
       4919;2020060121;    3;   5.1;eor
       4919;2020060122;    3;   5.1;eor
       4919;2020060123;    3;   4.3;eor
       4919;2020060200;    3;   4.0;eor
       4919;2020060201;    3;   4.6;eor
       4919;2020060202;    3;   5.8;eor
       4919;2020060203;    3;   4.8;eor
       4919;2020060204;    3;   5.0;eor
       4919;2020060205;    3;   4.8;eor
       4919;2020060206;    3;   3.3;eor
       4919;2020060207;    3;   2.8;eor
       4919;2020060208;    3;   2.6;eor
       4919;2020060209;    3;   1.8;eor
       4919;2020060210;    3;   1.9;eor
       4919;2020060211;    3;   3.4;eor
       4919;2020060212;    3;   4.9;eor
       4919;2020060213;    3;   5.1;eor
       4919;2020060214;    3;   6.2;eor
       4919;2020060215;    3;   6.6;eor
       4919;2020060216;    3;   6.7;eor
       4919;2020060217;    3;   7.0;eor
       4919;2020060218;    3;   6.6;eor
       4919;2020060219;    3;   6.0;eor
       4919;2020060220;    3;   5.4;eor
       4919;2020060221;    3;   4.1;eor
       4919;2020060222;    3;   3.5;eor
       4919;2020060223;    3;   4.1;eor
       4919;2020060300;    3;   3.9;eor
       4919;2020060301;    3;   3.3;eor
       4919;2020060302;    3;   3.4;eor
       4919;2020060303;    3;   3.4;eor
       4919;2020060304;    3;   3.7;eor
       4919;2020060305;    3;   5.1;eor
       4919;2020060306;    3;   5.1;eor
       4919;2020060307;    3;   5.3;eor
       4919;2020060308;    3;   6.3;eor
       4919;2020060309;    3;   7.8;eor
       4919;2020060310;    3;   8.8;eor
       4919;2020060311;    3;   9.1;eor
       4919;2020060312;    3;   8.6;eor
       4919;2020060313;    3;   8.2;eor
       4919;2020060314;    3;   8.4;eor
       4919;2020060315;    3;   9.6;eor
       4919;2020060316;    3;  10.1;eor
       4919;2020060317;    3;   9.0;eor
       4919;2020060318;    3;  13.4;eor
       4919;2020060319;    3;   7.7;eor
       4919;2020060320;    3;   4.7;eor
       4919;2020060321;    3;   7.8;eor
       4919;2020060322;    3;   6.2;eor
       4919;2020060323;    3;   7.4;eor
       4919;2020060400;    3;   5.0;eor
       4919;2020060401;    3;   5.4;eor
       4919;2020060402;    3;   4.8;eor
       4919;2020060403;    3;   5.8;eor
       4919;2020060404;    3;   8.1;eor
       4919;2020060405;    3;   5.9;eor
       4919;2020060406;    3;   9.6;eor
       4919;2020060407;    3;   6.2;eor
       4919;2020060408;    3;   5.5;eor
       4919;2020060409;    3;   5.9;eor
       4919;2020060410;    3;   5.7;eor
       4919;2020060411;    3;   5.4;eor
       4919;2020060412;    3;   3.7;eor
       4919;2020060413;    3;   2.4;eor
       4919;2020060414;    3;   9.7;eor
       4919;2020060415;    3;   7.2;eor
       4919;2020060416;    3;  12.0;eor
       4919;2020060417;    3;  13.6;eor
       4919;2020060418;    3;  14.3;eor
       4919;2020060419;    3;  13.4;eor
       4919;2020060420;    3;  12.7;eor
       4919;2020060421;    3;  13.3;eor
       4919;2020060422;    3;  14.3;eor
       4919;2020060423;    3;  15.8;eor
       4919;2020060500;    3;  14.1;eor
       4919;2020060501;    3;  14.2;eor
       4919;2020060502;    3;  13.1;eor
       4919;2020060503;    3;  13.2;eor
       4919;2020060504;    3;  13.1;eor
       4919;2020060505;    3;  13.8;eor
       4919;2020060506;    3;  13.5;eor
       4919;2020060507;    3;  15.9;eor
       4919;2020060508;    3;  15.8;eor
       4919;2020060509;    3;  15.6;eor
       4919;2020060510;    3;  11.5;eor
       4919;2020060511;    3;  12.9;eor
       4919;2020060512;    3;  12.6;eor
       4919;2020060513;    3;   8.9;eor
       4919;2020060514;    3;   9.8;eor
       4919;2020060515;    3;  11.3;eor
       4919;2020060516;    3;  13.1;eor
       4919;2020060517;    3;  11.1;eor
       4919;2020060518;    3;  12.6;eor
       4919;2020060519;    3;  11.2;eor
       4919;2020060520;    3;  10.6;eor
       4919;2020060521;    3;  12.9;eor
       4919;2020060522;    3;  19.1;eor
       4919;2020060523;    3;  18.0;eor
       4919;2020060600;    3;  18.9;eor
       4919;2020060601;    3;  17.0;eor
       4919;2020060602;    3;  19.9;eor
       4919;2020060603;    3;  17.9;eor
       4919;2020060604;    3;  18.9;eor
       4919;2020060605;    3;  17.1;eor
       4919;2020060606;    3;  16.3;eor
       4919;2020060607;    3;  15.2;eor
       4919;2020060608;    3;  16.4;eor
       4919;2020060609;    3;  16.1;eor
       4919;2020060610;    3;  18.0;eor
       4919;2020060611;    3;  16.7;eor
       4919;2020060612;    3;  18.2;eor
       4919;2020060613;    3;  16.2;eor
       4919;2020060614;    3;  19.5;eor
       4919;2020060615;    3;  17.6;eor
