ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;Coords;Wetter-ID
PR3_LAU_059;Herzogtum Lauenburg;-;Schulendorf;-;96.1;-;[53.4730525, 10.5604815];1736
PR3_LAU_060;Herzogtum Lauenburg;-;Schulendorf;-;25. Sep;-;[53.4730525, 10.5604815];1736
PR3_LAU_061;Herzogtum Lauenburg;-;Witzeeze;-;23. Mrz;-;[53.4515894, 10.6090961];1736
PR3_LAU_062;Herzogtum Lauenburg;Herzogtum Lauenburg;Hamwarde, Kollow, Wiershop;Hamwarde;73.6;19,1;[53.452575, 10.4443368];1736
PR3_LAU_063;Herzogtum Lauenburg;Herzogtum Lauenburg;Basedow, Dalldorf, Lütau, Wangelau,Witzeeze;Wangelau, Witzeeze;484.2;99,7;[53.43884, 10.5797059];1736
PR3_LAU_064;Herzogtum Lauenburg;-;Gülzow, Kollow, Wiershop;-;150.3;-;[53.4489931, 10.4671668];1736
PR3_LAU_065;Herzogtum Lauenburg;-;Gülzow, Lütau, Wangelau;-;115.5;-;[53.4437259, 10.5283893];1736
PR3_LAU_066;Herzogtum Lauenburg;-;Juliusburg;-;57.2;-;[53.4167052, 10.5048014];1736
PR3_LAU_067;Herzogtum Lauenburg;Herzogtum Lauenburg;Basedow, Juliusburg, Krüzen, Lütau;Basedow, Lütau;222.7;200,9;[53.4181197, 10.5410412];1736
PR3_LAU_068;Herzogtum Lauenburg;-;Juliusburg, Krukow, Schnakenbek;-;200.7;-;[53.4074466, 10.4962495];1736
PR3_LAU_069;Herzogtum Lauenburg;-;Krüzen;-;45.5;-;[53.4021848, 10.5267557];1736
PR3_LAU_070;Herzogtum Lauenburg;-;Buchhorst, Lanze;-;67.3;-;[53.3874213, 10.5872014];1736
PR3_LAU_071;Herzogtum Lauenburg;-;Schnakenbek;-;26. Apr;-;[53.3860198, 10.5023203];1736
PR3_LAU_301;Herzogtum Lauenburg;-;Groß Sarau, Klempau;-;73.2;-;[53.7673386, 10.6979309];3086
PR3_LAU_302;Herzogtum Lauenburg;-;Groß Sarau, Klempau, Pogeez;-;98.1;-;[53.7618428, 10.7084569];3086
PR3_LAU_303;Herzogtum Lauenburg;-;Schönberg;-;22. Jan;-;[53.6781808, 10.4318363];1736
PR3_LAU_304;Herzogtum Lauenburg;-;Schönberg;-;22. Jun;-;[53.6781808, 10.4318363];1736
PR3_LAU_305;Herzogtum Lauenburg;-;Linau;-;21. Mai;-;[53.646657, 10.4710765];1736
PR3_LAU_306;Herzogtum Lauenburg;-;Fuhlenhagen, Talkau;-;24. Feb;-;[53.5753241, 10.5476714];1736
PR3_LAU_307;Herzogtum Lauenburg;-;Fuhlenhagen, Schretstaken;-;31. Jan;-;[53.5814667, 10.5427652];1736
PR3_LAU_308;Herzogtum Lauenburg;-;Basthorst, Hamfelde, Mühlenrade;-;28. Sep;-;[53.5902543, 10.4669547];1736
PR3_LAU_309;Herzogtum Lauenburg;-;Kasseburg, Kuddewörde;-;98.3;-;[53.5770026, 10.4094165];1736
PR3_LAU_310;Herzogtum Lauenburg;-;Basthorst, Kasseburg, Kuddewörde, Möhnsen;-;51.9;-;[53.5728382, 10.4399399];1736
PR3_LAU_311;Herzogtum Lauenburg;-;Basthorst, Havekost, Möhnsen;-;95.8;-;[53.5594752, 10.4723722];1736
PR3_LAU_312;Herzogtum Lauenburg;-;Kasseburg, Möhnsen;-;30. Sep;-;[53.5640134, 10.4416197];1736
PR3_LAU_313;Herzogtum Lauenburg;-;Grove, Havekost;-;24. Apr;-;[53.5344877, 10.4854717];1736
PR3_LAU_314;Herzogtum Lauenburg;-;Sahms;-;19. Feb;-;[53.5212805, 10.5324365];1736
PR3_LAU_315;Herzogtum Lauenburg;-;Müssen;-;72.4;-;[53.4953546, 10.5641674];1736
