KREIS;GEMEINDE;TYP;MODELL;HERSTELLER;NABENHOEHE;ROTORDURCHMESSER;SCHALLLEISTUNGSPEGEL;LEISTUNG;LEISTUNGSBEZUG;OSTWERT (EPSG:4647);NORDWERT (EPSG:4647);GENEHMIGT_AM;INBETRIEBNAHME;STATUS;BST_NR;ANL_NR;DATENDATUM;DATENQUELLE;BETREIBER;Coords;Wetter-ID
HH;Francop;Vestas V117-3.3MW;Enercon E-70 E4/2000;Vestas;;;;3300.0;kW Nennleist. Rotor.;32556363.0;5928198.0;;2018.0;;;;;;Plan 8;[53.5040949, 9.8776069];4039
HH;Georgswerder;Enercon E-66/15.66;Enercon E-70 E4/2000;Enercon;;;;1500.0;kW Nennleist. Rotor.;32568378.0;5929531.0;;1998.0;;;;;;Hamburg Energie;[53.5063849, 10.0494435];4039
HH;Georgswerder;Repower MD77;Enercon E-70 E4/2000;Repower;;;;1500.0;kW Nennleist. Rotor.;32568378.0;5929531.0;;2004.0;;;;;;Hamburg Energie;[53.5063849, 10.0494435];4039
HH;Georgswerder;Repower 3.4M104;Enercon E-70 E4/2000;Repower;;;;3400.0;kW Nennleist. Rotor.;32568378.0;5929531.0;;2011.0;;;;;;Hamburg Energie;[53.5063849, 10.0494435];4039
HH;Neuengamme;Tacke TW 600;Enercon E-70 E4/2000;Tacke;;;;600.0;kW Nennleist. Rotor.;32582106.0;5919890.0;;2000.0;;;;;;NET OHG;[53.4379045, 10.2260934];1975
HH;Neuengamme;Enercon E-40/5.40;Enercon E-70 E4/2000;Enercon;;;;500.0;kW Nennleist. Rotor.;32582106.0;5919890.0;;2003.0;;;;;;NET OHG;[53.4379045, 10.2260934];1975
HH;Neuengamme;Enercon E-92;Enercon E-70 E4/2000;Enercon;;;;2000.0;kW Nennleist. Rotor.;32582106.0;5919890.0;;2017.0;;;;;;NET OHG;[53.4379045, 10.2260934];1975
HH;Neuengamme;Enercon E-92;Enercon E-70 E4/2000;Enercon;;;;2000.0;kW Nennleist. Rotor.;32582106.0;5919890.0;;2017.0;;;;;;NET OHG;[53.4379045, 10.2260934];1975
HH;Neuengamme;Senvion MM100;Enercon E-70 E4/2000;Senvion;;;;2000.0;kW Nennleist. Rotor.;32582106.0;5919890.0;;2016.0;;;;;;NET OHG;[53.4379045, 10.2260934];1975
HH;Neuengamme;Senvion MM100;Enercon E-70 E4/2000;Senvion;;;;2000.0;kW Nennleist. Rotor.;32582106.0;5919890.0;;2016.0;;;;;;NET OHG;[53.4379045, 10.2260934];1975
HH;Neuengamme;Senvion MM100;Enercon E-70 E4/2000;Senvion;;;;2000.0;kW Nennleist. Rotor.;32582106.0;5919890.0;;2016.0;;;;;;NET OHG;[53.4379045, 10.2260934];1975
HH;Neuengamme;Senvion MM100;Enercon E-70 E4/2000;Senvion;;;;2000.0;kW Nennleist. Rotor.;32582106.0;5919890.0;;2016.0;;;;;;NET OHG;[53.4379045, 10.2260934];1975
HH;Neuland;Enercon E-40/5.40;Enercon E-70 E4/2000;Enercon;;;;500.0;kW Nennleist. Rotor.;32568015.0;5924024.0;;2003.0;;;;;;Naturstrom;[53.4681548, 10.0309606];4039
HH;Neuland;Enercon E-40/5.40;Enercon E-70 E4/2000;Enercon;;;;500.0;kW Nennleist. Rotor.;32568015.0;5924024.0;;2003.0;;;;;;Naturstrom;[53.4681548, 10.0309606];4039
